,A,B,C,D,Return,Beta,Risk,SharpeRatio,TreynorRatio,InformationRatio,DownRisk,SortioRatio,Efficient
1981,HDFC,TCS,WIPRO,LT,0.06273677886641119,0.6590218531303786,0.011971793887731095,-0.5231647982185426,-0.009503814029592925,-6.767164653387274,0.005069613629399491,-1.2354434857258965,5.24038247356605
1982,HDFC,TCS,WIPRO,ICICIBANK,0.06231898284235329,0.7605765114880272,0.012677634162426038,-0.5269924239845875,-0.008784148677659873,-6.42335118803951,0.006131635772717601,-1.089597850442056,4.9156634466590186
1983,HDFC,TCS,WIPRO,EICHERMOT,-0.018179655842694924,0.44863066378777183,0.01168975018899897,-7.457786046167032,-0.19432389018316398,-13.852437607793268,0.00510625761522153,-17.07310175319322,-1.5551791568483213
1984,HDFC,TCS,WIPRO,SUNPHARMA,0.11328988401345477,0.5385336194385574,0.013744740147466575,3.22231512114969,0.08224163249014746,-2.21626563767834,0.006346691316483697,6.978421007876118,8.242417302762636
1985,HDFC,TCS,WIPRO,ITC,0.06637239247150259,0.47259502758700545,0.01148446551008178,-0.22879667549096985,-0.005559955935028686,-6.737752554672373,0.004769765234367786,-0.5508882302140591,5.779319238952546
1986,HDFC,TCS,WIPRO,VIDEOIND,-0.5984340692737411,0.3009209448527773,0.017015229424267815,-39.22568733171586,-2.2179714662277057,-43.61892103060968,0.007987888057377946,-83.55576148282037,-35.170496638748226
1987,HDFC,TCS,WIPRO,HINDZINC,0.009735099459622278,0.6064469349471637,0.012288857916915776,-4.822653247442856,-0.09772479194002545,-10.905552065746052,0.005323953790498143,-11.131745855148102,0.7921891135401431
1988,HDFC,TCS,SUNPHARMA,LT,0.08847379558402199,0.8569042288509209,0.013358020572336874,1.4578354239362583,0.02272575502414742,-4.13819423452276,0.0058349805202964145,3.337422552874731,6.623271397503488
1989,HDFC,TCS,SUNPHARMA,ICICIBANK,0.0880559995599641,0.9584588872085694,0.014243601651664783,1.3378638371101061,0.01988191649561838,-3.910238512927597,0.006638204079529822,2.8706558779545404,6.182144215586946
1990,HDFC,TCS,SUNPHARMA,EICHERMOT,0.007557360874915882,0.6465130395083141,0.01301474071585682,-4.7210037039173605,-0.09503696812026013,-10.464635554379592,0.005858198960991188,-10.488315527386634,0.5806770215336055
1991,HDFC,TCS,SUNPHARMA,WIPRO,0.10471087844091781,0.4725728275317099,0.01299074101717549,2.7489485313965742,0.0755669314028039,-3.005294371473317,0.005741766653196686,6.21949316262026,8.060423828207805
